20000 25043
0 8986 71.20495614682062
0 9943 10.891555347574611
1 17802 37.878417753883994
1 5014 97.26880904530657
1 2200 50.83268886590946
2 13862 95.69798422507124
2 8137 53.80748120614374
3 345 52.18988059686399
3 9098 39.436247761130154
3 13995 6.936892700238592
4 3648 76.28880130901402
5 9317 97.96345655730511
5 2978 2.486386840987481
6 11458 47.98394756236808
6 12527 52.11076728415395
6 1294 40.21201498537388
6 6299 71.38573821603423
6 1135 99.1720596203514
6 4807 13.657362925950407
7 819 87.5872618469155
8 15580 18.116026343450823
8 3514 59.956914822499265
8 1022 94.23508886604105
9 10493 44.96474558965709
9 5159 78.7737544315254
9 7839 2.3483774003949076
10 9012 80.389486842204
11 9830 45.16542144385048
11 4097 99.42738625488843
11 16466 41.44631945684778
11 2453 27.049099999825934
12 8024 17.246884317851144
13 1206 81.38691002930572
13 13357 8.537829269321252
13 11197 73.31423924103278
13 17954 92.03265327437046
14 7314 6.2936504422515815
15 5353 53.34742690527158
15 12446 23.65194909130156
16 18819 76.2124928501643
16 8249 48.39345893914164
17 15338 23.56961859448468
17 1339 35.22620385845747
17 1708 59.285477997512565
17 5484 39.20107553730487
18 376 75.50333905739116
18 4453 5.761275057935877
18 6901 55.85665550593351
18 2170 97.39658845276458
18 19626 63.92024303012757
18 9411 37.48108267304826
19 19522 27.207982933899842
19 16531 51.891554171651705
20 4572 31.666531873224322
21 11542 13.217184212082344
21 17183 56.191716170138825
21 13061 75.36667639779681
21 1635 50.84280626554481
22 7275 87.98634523949445
22 8121 36.84088866334166
22 10870 75.48972389113067
22 14959 95.05233870869219
23 11308 5.66775865191308
23 18977 67.90624270225094
23 10204 43.494488330125826
23 16579 31.244805184225015
23 19767 37.37529596861815
24 3358 65.56849649738655
25 17870 34.51538115171331
26 2848 15.418557652213885
27 12571 20.48412346620473
27 18552 88.12539297039565
27 4832 12.028962342846581
27 18351 94.50196914495051
27 15092 16.26221912004665
28 12974 71.57959805047379
28 1239 45.29749091164119
28 4877 77.20534176520573
29 19349 61.86288508601225
30 13825 73.9114192527998
31 1041 97.73790205742488
32 15336 68.53503758511253
32 17657 62.45821322210537
32 7331 81.74429159123932
32 213 9.401811999263325
32 1369 44.400447817265
32 16000 77.5818113566656
33 976 76.65157016680921
34 3070 25.046724213550288
35 7309 30.053513041596293
35 6993 64.51005057374613
35 3118 74.48388780258153
36 7164 49.43923574538814
37 2300 4.039804480755226
37 17779 86.89337365648
37 16862 55.95379559957012
38 7623 38.57119033353936
39 10297 17.801879496463588
39 16976 8.204820699067305
39 7350 47.99854832894644
39 14139 71.70746085233198
40 2163 65.85042488386702
40 7032 7.01704319058668
41 8239 84.8326932613543
41 1577 61.06731199934913
41 3540 39.31546230069773
42 16559 25.446859425630088
43 19726 5.128552259788376
44 13396 33.566179884680054
44 2316 63.898822927786625
44 15214 4.28681387956952
45 3807 61.279198016514364
45 11385 79.48979064008016
46 869 23.724895955435713
47 7735 72.19947420050612
47 16307 50.80109050977682
47 11183 15.337808366192634
47 15762 62.788766968888254
47 12329 23.714288426722455
47 3755 84.92927570434153
48 18390 88.2285608221053
49 6515 2.1697149317013213
50 17856 85.9260088887991
51 4229 86.45905773565516
51 6342 78.9960860967826
51 16112 74.2903240641941
51 3174 51.95551941427017
51 11561 71.80038306404731
52 16431 40.23756346563709
52 19633 47.942893005985695
53 13746 29.373967713897443
54 7223 90.59529521039967
55 1145 84.41345661188275
55 16402 35.188697471476786
55 10184 18.052747514892808
55 17036 26.156157845146478
56 5521 91.7621869991166
56 17338 95.59563905438021
57 14719 26.903623453727878
58 8181 43.32225019704724
58 18770 82.7593328255561
58 5823 21.816335492770925
59 19309 53.97294137643136
60 9115 36.80154460038966
61 212 7.529781200260155
62 5231 60.673973100889974
63 14679 22.526826773459522
63 1445 70.75310355904358
64 14874 55.69463541811824
64 13995 2.5413898865648417
65 13848 68.9378005597009
66 11149 75.80952462646724
67 15389 80.24485267606876
67 19948 67.28229269928752
68 15191 24.85143302918441
68 1682 59.9798855722692
68 15440 15.561272651899278
68 16016 46.192839198366954
69 9105 50.73158331019238
70 670 66.44597706414922
70 12793 87.53921295961588
71 9359 73.7987730593507
71 17010 80.58660679748499
71 4870 57.22195531687656
71 11185 43.13291073463132
72 5094 59.04625846625629
73 6981 51.934754072611845
73 19755 16.345351871811765
73 11963 88.7857564886591
73 12324 69.36939162229145
73 18639 7.031165795783911
73 14090 99.32755939322037
74 7055 32.135705811104515
75 11029 58.29874209765106
76 3349 14.151645235073069
77 3039 48.45478640020458
78 12449 28.149844170621197
79 3169 45.49199977086
80 13714 14.615498856645207
80 5047 38.30737435834533
81 7222 4.606489585430607
81 3052 9.86463001611039
81 19069 73.16103955107236
82 11763 60.22351910549592
83 11270 75.02220022966848
84 2414 38.75251271081557
84 7631 26.010689790009895
84 1443 27.51216206765112
84 8754 90.55129776276479
84 16673 83.3325136014667
85 19782 65.2210507423582
86 8667 59.64689660447475
87 2055 17.110669520682706
87 5508 24.31111681154704
87 7596 57.233304302711254
87 5129 11.21713090646147
88 14378 97.60280528038912
88 6120 98.54772068531113
89 7684 66.29356692299885
89 11048 50.496948540048834
89 14227 39.797819942795556
89 3622 81.8742279153654
89 417 94.42644454743555
89 3427 57.091543091825656
90 1423 98.35713805308822
91 1600 52.19102921952659
91 8561 51.95370995619314
92 3036 5.88823445482088
92 18827 58.229332388546595
92 6887 92.48818051067755
92 9085 17.610541406459074
93 17058 12.991531919191976
93 17728 81.80521880522612
93 13130 2.4753803188079013
93 11852 23.771924960592276
94 15054 89.00740254826208
95 17571 2.611467333436342
96 4090 69.47483181715111
97 12403 39.20804194114807
98 5673 43.963081602460434
98 7140 12.3468187264029
98 8338 91.09403438084011
99 18814 51.28439527963273
99 10323 63.50652963735001
100 4459 67.47583024140994
100 7318 56.252732701863984
100 8261 80.40177863088846
100 19896 48.60379831322826
100 9329 39.2371491569919
100 11294 2.109204204576921
100 13128 9.277529097833904
100 10722 30.251698983801393
100 14198 37.894463278262855
100 7002 79.88909895867933
101 16328 29.58762497536443
101 9436 91.80964839254385
101 3088 24.287948309454062
101 14972 55.750219439319785
102 16343 92.9270614654805
102 10557 65.337688625998
103 3518 64.47417501656062
103 7824 9.420185904008378
104 7018 51.52314031687824
104 14231 5.6891033562325655
105 5667 48.77619677305218
105 10196 42.692876089519245
106 334 75.35643879977614
106 8630 85.76524042697858
106 14867 64.50993805890542
107 19601 20.30375370510907
107 2180 31.623671922520806
108 12993 86.76910239653108
108 12596 59.28145773204289
109 9450 83.37369505280137
109 19768 79.22044303020951
109 7849 4.452051686952566
109 17454 20.65701857656381
109 3979 77.53637370067781
110 19807 2.673268066699512
110 4885 83.6948066235191
111 2582 41.02349269899674
112 12491 19.055563035214853
112 18438 37.63576990306082
113 5768 81.74245516669617
113 744 94.40238264659772
113 7297 95.29719081131559
114 18089 59.24430301442557
115 6647 44.31595261823403
115 8293 8.37875476337475
116 918 2.9349707915708314
116 10929 69.21412926585705
116 1444 44.155254206450515
117 16880 97.27196677619064
117 5242 67.17575420143805
117 6031 42.78609823136465
118 9606 10.11072553179226
119 11850 2.2911493673452816
120 17062 65.08317875046842
120 14763 91.6978474909505
121 12979 30.60999084176771
121 7189 9.567632989487926
121 6163 9.939331097184752
121 18708 84.23162269807682
121 18829 99.31863652405902
122 18918 23.254749862040384
123 6300 28.937061035312546
124 2279 80.96852285604977
125 8343 54.62373057059325
125 3001 10.956586737062814
125 14187 61.79773151857067
125 14011 92.31708781208454
126 1501 59.55664724571698
127 7467 77.47016651364238
128 9482 47.47394395734227
129 2614 52.75648187773211
130 7628 2.4893949952806502
131 19277 77.5275523335344
131 3500 76.26066991142993
132 19517 43.55975417457037
132 8346 55.27524146458437
132 18856 30.125908410863186
133 3309 14.941844526038643
134 12315 53.895287423103625
134 10190 57.17933708351529
135 8942 62.5611778208642
135 14646 16.771255653001457
135 17236 61.08639145234391
135 587 78.7062523702326
135 19121 53.26749384532798
136 6213 54.45362582736801
136 7915 56.2449764906366
136 13584 52.48386236185508
136 420 63.89262803651034
137 12455 12.71301460098746
138 9108 53.38472383846077
139 14857 68.53069139555672
140 5113 64.44303289088764
140 15400 78.37733888493595
140 8695 8.192137144836426
140 17391 4.032852662567636
140 15614 80.48222425240895
141 13918 43.44667729646264
141 3233 36.93911338522952
142 9419 84.54540253189133
142 17378 57.365619771127385
143 11954 89.78242618090214
144 5329 3.3139895024011383
145 6917 59.875458139464314
145 7038 13.523915590386219
145 12741 94.38353364624508
146 12130 14.137403948081143
147 11641 88.23677289823202
148 6865 76.63605074462937
149 13164 36.492162346844815
149 18275 85.0777426166522
149 13722 63.47491425034169
150 8748 58.15391055008555
151 2339 83.2726643636487
152 8921 19.490424965574608
152 10538 2.4545614344614752
152 16006 97.80000830283217
152 17548 55.77630608248172
152 412 1.5785916696800966
152 10710 94.4172023986242
152 12560 89.83491225981955
152 8555 37.48583356676927
152 1594 14.780820802850815
152 18866 8.211126421485417
153 19960 46.637565909024204
154 1900 34.225825790607765
154 14812 32.12110375747104
155 9517 95.77635418370423
155 7877 46.596493804299314
156 5607 46.234897082954234
157 17502 70.9005677471386
158 5525 67.42545672541385
158 10263 14.659004593934842
159 8021 30.38298809621155
160 6433 60.610194811991924
160 18892 78.6217771797493
161 17569 10.560627346033272
161 1720 67.62445293311946
161 17614 83.64378254751206
162 12263 55.591155754928955
162 17343 28.752757333951465
162 18170 61.246615473659624
